objectid,parentid,format,filename,identifier,title,type,creator,contributor,description,date,subject
MBE001,,multiple,,PS2618 .T27 2016,The tell-tale heart,Book,"Poe, Edgar Allan, 1809-1849","Miller, Patrice","Dallas, TX : Aredian Press; 30 pages : 75 mm in box 85 x 90 mm; Bound in red goatskin, red and black decorated endpapers. Book is laid in a box made of red goatskin and red and black decorated paper; box has a panel that lifts up to reveal a plastic ""heart"" (when pushed on the bottom the heart ""beats"").",2016,Artists' books--Specimens; Miniature books--Specimens
MBE002,MBE001,image/jpeg,PS2618.T272016-001.jpg,,,,,,,,
MBE003,MBE001,image/jpeg,PS2618.T272016-002.jpg,,,,,,,,
MBE004,MBE001,image/jpeg,PS2618.T272016-003.jpg,,,,,,,,
MBE005,,multiple,,N7433.4.A26 G7 2014,Grandma’s Quilt,Book,"Abney, Cathie.",[N/A],"[Middletown, OH : Cathie Abney]; 3 unnumbered leaves, 6 leaves, 2 unnumbered leaves : illustrations : 44 x 43 mm; Bound in multicolored cotton fabric made to look like a quilted bed with a woman sleeping in it, hand-sewn.",[2014],Miniature books--Ohio--21st century--Specimens; Artists' books--Ohio--21st century--Specimens; Quilting; Grandmothers--Poetry
MBE006,MBE005,image/jpeg,N7433.4.A26G72014-001.jpg,,,,,,,,
MBE007,MBE005,image/jpeg,N7433.4.A26G72014-002.jpg,,,,,,,,
MBE008,,multiple,,GT2120 .G37 2015,La corbata = the tie,Book,"García de Fuentes, Manuel.",[N/A],"Marbella (Spain) : [Garciadefuentes Press]; 57 pages, 21 unnumbered pages : illustrations (some color) : 67 x 52 mm in 80 mm box; Bound in cloth boards made to look like a blue and white striped shirt with floral tie. In white box with copy of title page pasted to bottom.",2015,Miniature books--Spain--21st century--Specimens; Neckties; Men's clothing
MBE009,MBE008,image/jpeg,GT2120.G372015-001.jpg,,,,,,,,
MBE010,MBE008,image/jpeg,GT2120.G372015-002.jpg,,,,,,,,
MBE011,,multiple,,HQ461.N32 B15 2002,The perfumed garden,Book,"Bailey, Alicia.",[N/A],"Lake City, Col. : Ravenpress; [22] p. : chiefly col. ill. : 37 x 58 mm.; Printed as leaves, pasted to form pages, and pasted to endpapers to mount in marbled boards without spine, printed paper cover label. Issued in a carved stone box (77 x 46 x 36 mm.) with printed bottom liner.",2002,"Nafzāwī, ʻUmar ibn Muḥammad; Rawḍ al-ʻāṭir fī nuzʹhat al-khāṭir--Illustrations; Erotic literature--Early works to 1800; Miniature books--Specimens"
MBE012,MBE011,image/jpeg,HQ461.N32B152002-001.jpg,,,,,,,,
MBE013,MBE011,image/jpeg,HQ461.N32B152002-002.jpg,,,,,,,,
MBE014,MBE011,image/jpeg,HQ461.N32B152002-003.jpg,,,,,,,,
MBE015,MBE011,image/jpeg,HQ461.N32B152002-004.jpg,,,,,,,,
